1653890820000,30427.07000000,30450.00000000,30427.06000000,30449.99000000,14.67557000,1653890879999,446713.74964370,426,10.28449000,313044.82571530,0
1653890880000,30450.00000000,30549.00000000,30449.99000000,30494.30000000,273.33474000,1653890939999,8335512.03670950,4130,191.28350000,5833038.05686740,0
1653890940000,30494.30000000,30507.80000000,30474.27000000,30475.10000000,48.65110000,1653890999999,1483361.79746680,533,31.56615000,962402.75385130,0
1653891000000,30475.10000000,30483.11000000,30459.23000000,30463.99000000,89.33793000,1653891059999,2721720.53944170,560,31.44218000,957829.04404800,0
1653891060000,30463.98000000,30492.54000000,30463.98000000,30492.54000000,20.03320000,1653891119999,610616.22898980,357,12.99867000,396185.41069740,0
1653891120000,30492.54000000,30499.99000000,30482.03000000,30493.51000000,17.99873000,1653891179999,548827.67663480,294,5.19183000,158308.26884270,0
1653891180000,30493.51000000,30559.46000000,30493.51000000,30530.71000000,43.99584000,1653891239999,1343499.90577810,812,19.03763000,581278.00920190,0
1653891240000,30530.71000000,30559.87000000,30520.00000000,30543.94000000,51.54243000,1653891299999,1574534.58459750,761,25.46966000,778035.09533320,0
1653891300000,30543.94000000,30559.51000000,30513.39000000,30545.16000000,38.09947000,1653891359999,1163560.71578280,572,22.98850000,702020.04249850,0
1653891360000,30545.16000000,30670.00000000,30535.85000000,30618.73000000,237.20034000,1653891419999,7262513.24661570,2960,117.49930000,3595781.58103720,0
1653891420000,30618.73000000,30880.00000000,30617.86000000,30804.28000000,293.98334000,1653891479999,9049852.39118470,5521,181.79030000,5595665.99768350,0
1653891480000,30804.27000000,30804.27000000,30700.00000000,30777.19000000,149.97607000,1653891539999,4611906.76809900,2128,76.81181000,2361938.40541490,0
1653891540000,30777.19000000,30784.32000000,30700.00000000,30733.36000000,100.46590000,1653891599999,3088351.10723350,1098,29.39209000,903174.00642290,0
1653891600000,30733.36000000,30733.36000000,30676.50000000,30701.42000000,52.42450000,1653891659999,1609401.47231020,775,15.77782000,484267.63845480,0
1653891660000,30701.42000000,30727.21000000,30672.51000000,30672.51000000,31.07272000,1653891719999,954006.20823870,557,8.83601000,271307.48607560,0
1653891720000,30672.41000000,30703.87000000,30663.76000000,30667.63000000,43.27298000,1653891779999,1327858.82096990,543,18.65402000,572407.99083250,0
1653891780000,30667.63000000,30682.06000000,30650.18000000,30682.06000000,21.41593000,1653891839999,656789.14098650,421,11.07000000,339519.22461830,0
1653891840000,30682.06000000,30700.00000000,30671.80000000,30699.18000000,22.63063000,1653891899999,694381.76373400,314,11.21649000,344185.69946220,0
1653891900000,30699.17000000,30699.18000000,30620.00000000,30641.35000000,49.55227000,1653891959999,1518779.00308460,902,18.14864000,556080.29126020,0
1653891960000,30641.35000000,30641.47000000,30606.77000000,30621.65000000,51.88234000,1653892019999,1588993.22407920,527,26.26041000,804228.75201270,0
